id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12ccnmgcnzlel5gm04ce5ljcufrfprbz3g,Marcelle de Souza,4 days ago,1460686277226,snnnndndn Dee uh ¿,0,false,0,,,,,,
z134trt5fkawvrl4u04cefvqppbju5bygkg0k,natalia richardson,5 days ago,1460599877226,Wow😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,0,false,0,,,,,,
z12netqpmtmle1e0h22rvfqytkakwr0tr,Woody Archer,1 week ago,1460427077227,That's not the worlds fastest,0,false,0,,,,,,
z13swfoofyunhtc1v231c1vj5wuifznpf04,Chris John Bautista,1 week ago,1460427077228,What the fck happen to the wtermelons?!?!,0,true,1,,,,,,
,,,,,,,,z13swfoofyunhtc1v231c1vj5wuifznpf04.1460664329751434,Codey Valdez,4 days ago,1460686277466,Jayden. love and thanks for all of your help in this case it is the best way,0
z134zdcxit3oflhyq04chvzw1nfzjpqaenw0k,Jm Ortaleza,1 week ago,1460427077228,those bg sounds <3,0,false,0,,,,,,
z13atpoaepzzt3lqp04cex1agsyigbpq1x40k,Harry Botter,1 week ago,1460427077229,I have that same exact shirt...bought it at Khols,0,false,0,,,,,,
z12uvp3jxyymy1ioq04cfnhbpmjvhbzbwd4,JKC GAMING,2 weeks ago,1459822277229,So much fruit wasted and fruit wasted is money wasted,0,false,0,,,,,,
z12etxth0wv1ydbjc04cgtxysznvevibje4,xZYTECx,3 weeks ago,1459217477230,nice.,0,false,0,,,,,,
z13djlshemmzd3sxf04cifszynvzh55jpjc,Kris Simp,3 weeks ago,1459217477231,No offence but he is not the fastest look up worlds fastest fruit cutter in the world and you will see my point,0,false,0,,,,,,
z12dtjdzupzvwlbqu04ceprqdvmxitkqyoc0k,susan ng,3 weeks ago,1459217477231,浪费,0,false,0,,,,,,
z124epybmofkfzbsg23zgnjjfrvnzhhze04,Canadian Stampy,4 weeks ago,1458612677232,1) your gonna have some big ass pieces of watermelon if you don't fix that shit 2) what are you a bitch take that gardening glove off and imbrace the man hood,0,true,1,,,,,,
,,,,,,,,z124epybmofkfzbsg23zgnjjfrvnzhhze04.1459214819655851,TheNad,3 weeks ago,1459217477631,its probably a chainmail glove since he so confidently cuts towards his hands,0
z13cfzoyzu3bhlzqx04ccfu54lqehbv5j0o,Chilly potato,1 month ago,1458353477233,"For all u who say he wasted food, how else could it have gotten to the people of Africa? It would rot before they got to eat it so what was the point?",0,false,0,,,,,,
z13udht51lr4wjgfy23ddhjgkojsul2a004,Donald Frenette,1 month ago,1458353477233,Awesome,0,false,0,,,,,,
z13xfnw44lvttrlpg04ch55pxm2lz3e4cs00k,Donald Frenette,1 month ago,1458353477234,Awesome,0,false,0,,,,,,
